Date	Day	Depart	Arrive
2010-06-15	T	5:37	6:05
2010-06-16	W	5:08	5:35
2010-06-17	H	4:58	5:17
2010-06-18	F	5:01	5:17
2010-06-21	M	5:17	5:41
2010-06-25	F	5:21	5:38
2010-06-28	M	5:20	5:41
2010-07-1	H	5:17	5:38
2010-07-16	F	5:30	5:47
2010-07-19	M	5:20	5:37
2010-07-20	T	5:01	5:20
2010-07-21	W	5:08	5:29
2010-07-22	H	5:22	5:45
2010-07-23	F	5:39	5:56
2010-07-26	M	5:26	5:44
2010-07-27	T	5:26	5:53
2010-08-9	M	5:23	5:40
2010-08-10	T	5:30	5:50
2010-08-16	M	5:23	5:44
2010-08-17	T	5:30	5:51
2010-08-18	W	5:40	6:02
2010-08-19	H	5:25	5:59
2010-08-23	M	5:31	6:00
2010-08-24	T	4:05	4:34
2010-08-25	W	4:52	5:18
2010-08-26	H	5:50	6:12
2010-08-31	T	5:13	5:42
2010-09-1	W	5:17	5:45
2010-09-2	H	6:09	6:25
2010-09-3	F	5:22	5:41
2010-09-7	T	5:15	5:51
2010-09-8	W	5:24	5:51
2010-09-9	H	5:54	6:15
2010-09-13	M	5:35	5:57
2010-09-14	T	5:41	6:03
2010-09-15	W	3:44	4:03
2010-09-16	H	6:11	6:23
2010-09-17	F	4:59	5:20
2010-09-20	M	5:24	5:49
2010-09-21	T	5:21	5:48
2010-09-22	W	5:36	5:59
2010-09-23	F	6:04	6:23
2010-09-24	F	5:32	5:52
2010-09-27	M	5:28 	5:57
2010-09-28	T	5:24	5:51
2010-09-29	W	5:25	5:51
2010-09-30	H	5:53	6:16
2010-10-4	M	5:23	5:51
2010-10-6	W	5:31	5:50
2010-10-8	F	5:16	5:31
2010-10-13	W	5:21	5:42
2010-10-14	H	5:54	6:15
2010-10-15	F	5:10	5:33
2010-10-18	M	5:17	5:45
2010-10-21	H	5:44	6:05
2010-10-22	F	5:29	5:47
2010-10-25	M	5:35	5:54
2010-10-26	T	5:14	5:46
2010-10-27	H	6:09	6:27
2010-11-1	M	6:01	6:19
2010-11-2	T	5:24	5:49
2010-11-8	M	5:35	5:54
2010-11-9	T	5:21	5:42
