before,after
705,568
819,498
706,589
509,681
613,540
582,646
601,636
608,739
787,539
573,596
428,607
754,529
741,637
628,617
537,633
748,555
663,565
526,568
541,584
462,607
719,530
754,566
740,687
688,694
539,566
725,714
711,639
607,693
816,556
426,473
773,593
480,551
632,683
569,667
547,649
710,647
679,580
674,532
505,467
527,622
679,650
830,629
602,651
765,
593,
723,
730,
701,
672,
685,
800,
663,
369,
596,
758,
637,
553,
620,
679,
599,
566,
484,
739,
717,
642,
663,
563,
733,
664,
625,
655,
466,
462,
603,
646,
588,
476,
421,
812,
547,
643,
693,
624,
549,
726,
645,
794,
490,
514,
580,
624,
566,
709,
518,
554,
623,
747,
583,
573,
536,
833,
644,
594,
596,
750,
582,
788,
