Young,Early Middle Age,Late Middle Age,Senior,,,,
24.8,28.9,81.5,66.8,,,,
35.5,7.3,0.0,77.4,,,,
68.7,61.8,61.3,32.9,,,,
42.2,53.6,0.0,74.0,,,,
49.5,0.0,45.4,0.0,,,,
64.6,49.4,42.3,35.2,,,,
58.3,71.4,75.3,21.4,,,,
72.0,53.7,54.7,0.0,,,,
25.6,46.9,0.0,61.4,,,,
39.8,91.6,20.5,61.8,,,,
39.3,46.0,76.4,35.6,,,,
55.6,41.8,38.0,53.0,,,,
0.0,53.2,39.8,38.5,,,,
56.5,0.0,78.4,53.7,,,,
37.3,43.7,0.0,69.1,,,,
50.3,78.1,76.7,55.5,,,,
38.0,54.7,72.7,31.6,,,,
42.7,45.7,0.0,0.0,,,,
48.4,63.1,33.0,57.3,,,,
18.3,50.4,11.0,42.7,,,,
50.1,38.6,0.0,37.9,,,,
77.2,59.8,60.3,60.9,,,,
42.7,67.8,89.3,72.3,,,,
0.0,48.4,56.0,45.8,,,,
0.0,0.0,47.9,69.0,,,,
46.3,60.6,36.0,41.6,,,,
26.8,66.4,60.0,2.3,,,,
15.3,52.2,47.8,49.7,,,,
36.6,56.1,67.2,43.3,,,,
35.5,45.0,61.8,68.8,,,,
70.0,80.7,61.4,100.0,,,,
35.8,37.4,68.7,46.3,,,,
0.0,94.9,30.8,45.7,,,,
45.0,58.1,84.9,17.5,,,,
66.9,51.8,77.4,62.2,,,,
52.1,43.5,34.6,69.4,,,,
64.6,50.9,40.5,48.6,,,,
37.1,39.8,46.5,53.4,,,,
29.7,41.6,32.4,34.8,,,,
53.7,68.0,57.0,72.3,,,,
39.5,58.7,41.2,72.6,,,,
81.9,84.8,55.3,47.1,,,,
27.7,50.1,68.9,62.3,,,,
48.9,55.4,70.2,50.8,,,,
51.9,47.3,36.2,51.1,,,,
44.6,87.2,68.2,67.3,,,,
67.0,0.0,44.5,42.5,,,,
48.8,50.6,54.8,55.3,,,,
38.1,44.2,62.5,60.8,,,,
0.0,54.8,69.7,71.3,,,,
69.2,76.4,57.5,56.8,,,,
33.5,7.3,64.7,52.7,,,,
49.6,32.7,58.0,51.2,,,,
32.3,65.4,34.0,88.5,,,,
70.2,66.0,63.7,81.2,,,,
50.7,55.9,62.5,72.4,,,,
74.0,84.0,67.0,47.6,,,,
50.0,87.1,50.4,65.7,,,,
49.3,83.1,44.1,,,,,
60.7,70.6,52.0,,,,,
25.1,91.2,52.9,,,,,
30.6,34.3,75.5,,,,,
0.0,73.1,78.9,,,,,
59.0,73.2,52.5,,,,,
59.7,32.5,79.8,,,,,
75.8,50.7,59.4,,,,,
50.2,65.4,58.3,,,,,
46.4,60.8,70.4,,,,,
57.9,65.5,57.5,,,,,
46.8,48.4,29.7,,,,,
55.5,0.0,44.4,,,,,
67.6,48.5,63.9,,,,,
42.2,68.3,67.4,,,,,
41.8,50.8,58.5,,,,,
78.5,55.8,92.4,,,,,
37.2,75.8,31.6,,,,,
0.0,0.0,22.6,,,,,
33.2,59.6,0.0,,,,,
50.4,57.3,33.2,,,,,
37.4,47.4,65.5,,,,,
36.0,58.2,63.2,,,,,
44.6,55.0,50.6,,,,,
52.0,61.6,60.0,,,,,
61.0,80.2,47.0,,,,,
,85.1,31.1,,,,,
,68.3,54.0,,,,,
,35.1,41.6,,,,,
,38.2,59.5,,,,,
,62.0,55.2,,,,,
,69.4,42.3,,,,,
,57.8,61.8,,,,,
,0.0,71.6,,,,,
,57.7,31.1,,,,,
,67.2,,,,,,
,38.7,,,,,,
,17.2,,,,,,
,71.4,,,,,,
,49.3,,,,,,
,43.8,,,,,,
,50.8,,,,,,
,59.6,,,,,,
,48.2,,,,,,
,80.1,,,,,,
,44.5,,,,,,
,57.9,,,,,,
,55.2,,,,,,
,53.8,,,,,,
,60.3,,,,,,
,64.7,,,,,,
,44.9,,,,,,
,66.0,,,,,,
,67.9,,,,,,
,30.4,,,,,,
,0.0,,,,,,
,52.5,,,,,,
,56.2,,,,,,
,20.6,,,,,,
,70.2,,,,,,
,9.5,,,,,,
,37.3,,,,,,
,71.1,,,,,,
,45.0,,,,,,
,73.2,,,,,,
,47.1,,,,,,
,6.7,,,,,,
,56.5,,,,,,
,41.2,,,,,,
,63.5,,,,,,
,71.1,,,,,,
,45.6,,,,,,
,84.0,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
